"keys","cz"
,
"lbl_channel","Kanál aktualizací:"
"rbtn_stable","Stabilní"
"rbtn_experimental","Experimentální"
"lbl_changelog","[right][color=#3b93f7][url]Zobrazit změny v experimentální verzi[/url][/color][/right]"
"lbl_builds","Dostupné vydání:"
"btn_refresh","Obnovit"
"btn_install","Instalovat vybraný"
"btn_update","Aktualizovat na vybraný"
"btn_play","Hrát"
"btn_resume","Pokračovat v posledním světě"
"lbl_currently_installed","Aktuálně nainstalováno:"
"lbl_none","Nic"
,
"tooltip_game","Vyberte jakou hru spravovat nebo hrát."
"tooltip_changelog","Klikněte pro načtení shrnutí a posledních změn z GitHub."
"tooltip_stable","Stabilní kanál aktualizací (pouze DDA)."
"tooltip_experimental","Experimentální kanál aktualizací."
"tooltip_builds","Vybrat jaké vydání hry nainstalovat nebo na jaké aktualizovat."
"tooltip_refresh","Znovu získat seznam dostupných herních vydání\nz GitHubu (pouze pro experimentální vydání)."
"tooltip_install","Nainstalovat vybrané vydání hry (DDA a BN\njsou spravovány zvlášť a mohou koexistovat)."
"tooltip_game_dir","Otevřít složku s nainstalovanou hrou (obsahuje\nherní soubory a vestavěný herní obsah)."
"tooltip_user_dir","Otevřít složku s daty uživatele (obsahuje uložené hry, \nherní nastavení, mody, zvuk, atd.)"
"tooltip_play","Spustit hru."
"tooltip_resume","Přeskočit hlavní menu a rychle načte poslední hraný svět.\n(První postava bude vždy načtena pokud je jich tam více.)"
